"Nazwa","Cena","Popularność","RAM(GB)","GPU","Pamięć GPU(GB)","CPU","Taktowanie(GHz)","Rdzenie","Wątki","Przekątna","System","Indeks"
"Dell Vostro 3510 (N8010VN3510EMEA01_2201)",3543.14,18,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 10 Pro",80
"Lenovo Yoga 7 14ACN6 (82N7006CPB)",3599.0,5,8,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5600U",2.3,6,12,14.0,"Windows 11 Home",81
"Acer Nitro 5 i5-12500H / 8 GB / 512 GB / RTX 3050 / 144 Hz (NH.QFJEP.00E)",3599.0,6,8,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-12500H",1.8,12,16,15.6,"Brak",82
"Lenovo IdeaPad Gaming 3 15ARH7 Ryzen 5 6600H / 16 GB / 512 GB / RTX 3050 / 120 Hz (82SB00BXPB)",3699.0,8,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"AMD Ryzen 5 6600H",3.2,6,12,15.6,"Brak",83
"Lenovo IdeaPad Gaming 3 16ARH7 (82SC003JPB)",3799.0,26,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"AMD Ryzen 5 6600H",3.3,6,12,16.0,"Brak",84
"Lenovo ThinkBook 15 G2 ITL i7-1165G7 / 16 GB / 512 GB / W11 (20VE012GPB)",3799.0,3,16,"Intel Iris Xe",0,"Intel Core i7-1165G7",2.8,4,8,15.6,"Windows 11 Pro",85
"ADATA Xenia 14 (XENIA14I5G11GXELX)",3839.0,1,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,14.0,"Windows 10 Home",86
"MSI Katana GF76 11UC-468XPL",3999.0,136,8,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Brak",87
"Lenovo Legion 5 17ACH6 (82K0003LPB)",3999.0,42,16,"NVIDIA GeForce GTX 1650",4,"AMD Ryzen 5 5600H",3.3,6,12,17.3,"Brak",88
"Lenovo ThinkPad E15 G4 Ryzen 3 5425U / 8 GB / 256 GB / W11 Pro (21ED0081PB)",3999.0,3,8,"AMD Radeon RX Vega 6",0,"AMD Ryzen 3 5425U",2.7,4,8,15.6,"Windows 11 Pro",89
